frame_number;seconds;resolution
321;12.84;640x480
322;12.88;640x480
323;12.92;640x480
324;12.96;640x480
325;13;640x480
326;13.04;640x480
327;13.08;640x480
328;13.12;640x480
329;13.16;640x480
330;13.2;640x480
331;13.24;640x480
332;13.28;640x480
333;13.32;640x480
334;13.36;640x480
335;13.4;640x480
336;13.44;640x480
337;13.48;640x480
338;13.52;640x480
339;13.56;640x480
340;13.6;640x480
341;13.64;640x480
342;13.68;640x480
343;13.72;640x480
344;13.76;640x480
345;13.8;640x480
346;13.84;640x480
347;13.88;640x480
348;13.92;640x480
349;13.96;640x480
350;14;640x480
351;14.04;640x480
352;14.08;640x480
353;14.12;640x480
354;14.16;640x480
355;14.2;640x480
356;14.24;640x480
357;14.28;640x480
358;14.32;640x480
359;14.36;640x480
360;14.4;640x480
361;14.44;640x480
362;14.48;640x480
363;14.52;640x480
364;14.56;640x480
365;14.6;640x480
366;14.64;640x480
367;14.68;640x480
368;14.72;640x480
369;14.76;640x480
370;14.8;640x480
371;14.84;640x480
372;14.88;640x480
373;14.92;640x480
374;14.96;640x480
375;15;640x480
376;15.04;640x480
377;15.08;640x480
378;15.12;640x480
379;15.16;640x480
380;15.2;640x480
381;15.24;640x480
382;15.28;640x480
383;15.32;640x480
384;15.36;640x480
385;15.4;640x480
386;15.44;640x480
387;15.48;640x480
388;15.52;640x480
389;15.56;640x480
390;15.6;640x480
391;15.64;640x480
392;15.68;640x480
393;15.72;640x480
394;15.76;640x480
395;15.8;640x480
396;15.84;640x480
397;15.88;640x480
398;15.92;640x480
399;15.96;640x480
400;16;640x480
401;16.04;640x480
402;16.08;640x480
403;16.12;640x480
404;16.16;640x480
405;16.2;640x480
406;16.24;640x480
407;16.28;640x480
408;16.32;640x480
409;16.36;640x480
410;16.4;640x480
411;16.44;640x480
412;16.48;640x480
413;16.52;640x480
414;16.56;640x480
415;16.6;640x480
416;16.64;640x480
417;16.68;640x480
418;16.72;640x480
419;16.76;640x480
420;16.8;640x480
421;16.84;640x480
422;16.88;640x480
423;16.92;640x480
424;16.96;640x480
425;17;640x480
426;17.04;640x480
427;17.08;640x480
428;17.12;640x480
429;17.16;640x480
430;17.2;640x480
431;17.24;640x480
432;17.28;640x480
433;17.32;640x480
434;17.36;640x480
435;17.4;640x480
436;17.44;640x480
437;17.48;640x480
438;17.52;640x480
439;17.56;640x480
440;17.6;640x480
441;17.64;640x480
442;17.68;640x480
443;17.72;640x480
444;17.76;640x480
445;17.8;640x480
446;17.84;640x480
447;17.88;640x480
448;17.92;640x480
449;17.96;640x480
450;18;640x480
451;18.04;640x480
452;18.08;640x480
453;18.12;640x480
454;18.16;640x480
455;18.2;640x480
456;18.24;640x480
457;18.28;640x480
458;18.32;640x480
459;18.36;640x480
460;18.4;640x480
461;18.44;640x480
